City,State,Country,Project Title,Type of Action,Sector,Sector (Categorical),Instrument,Instrument type (categorical),Amount (USD/EUR/BRL),Amount USD (integer),Funders,Funder (categorical),Intermediaries/Implementers,Status,Status (categorical),Summary,Key Points,Source Link,Coordinates,Detailed Expected Impact,Repayment Structure,Operation & Maintenance,Co-benefits (detailed),Primary Beneficiaries (detailed),Climate Goals (detailed),Alignment with National/Local Priorities,Implementation Risks & Lessons
"Multi-city (incl. Resistencia, Virasoro)",Santa Fe; Chaco; Corrientes; Entre Ríos,Argentina,Urban Flood Prevention and Drainage Project – Phase 2 (APL2),Flood control; integrated watershed management,Water management; Urban resilience,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loan (APL2),Loan,~US$150M,150000000,World Bank (IBRD); Government of Argentina; Provinces,National / Subnational Government; World Bank,Nat'l Min. Public Works; provincial governments,Completed (~2011–2017),Completed,Scaled flood protection to additional jurisdictions; drainage works and watershed plans across multiple provinces.,Multi-jurisdictional coordination; integrated planning.,https://worldbank.org,,,,,,,,,
Buenos Aires,CABA,Argentina,Flood Risk Management Support Project for the City of Buenos Aires (Loan 8628-AR),Urban flood resilience; early warning; NBS pilot,DRM; Water,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loan,Loan,US$200M,200000000,World Bank (IBRD); City of Buenos Aires,National / Subnational Government; World Bank,Hydraulic Dept.; Emergency Agency (BA),Completed (2016–2023),Completed,"Strengthened flood risk management, built EWS and council; drainage upgrades in vulnerable areas; NBS retention lagoon/park in Cildáñez basin.",Green-gray integration; institutional coordination; inclusive approach.,https://worldbank.org,"-34.603700, -58.381600",,,,,,,,
La Matanza (GBA),Buenos Aires Province,Argentina,Metrobus La Matanza (PTUMA add'l financing),BRT corridor; sustainable mobility,Transport (low-carbon),Environment & Nature-based Solutions; Transport,IBRD loan (add'l financing),Loan,US$45M (WB share),45000000,World Bank; Government of Argentina,National / Subnational Government; World Bank,Ministry of Transport; Province; Municipality,Completed (2017 opening),Completed,"16-km BRT with 40 stations, serving ~240k users/day; time savings ~30%; intermodal terminal works.",Equity for low-income suburb; emissions and air quality benefits.,https://worldbank.org,"-34.717000, -58.633000",,,,,,,,
Buenos Aires Metropolitan Area,CABA / Buenos Aires,Argentina,Matanza–Riachuelo Basin Sustainable Development (multi-phase),Wastewater treatment; floodable green areas; industrial cleanup,Water & sanitation; Urban environment,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loans (multi-phase),Loan,~US$1.2B (2009–2022),1200000000,World Bank (IBRD); Government of Argentina (ACUMAR; AySA),National / Subnational Government; World Bank,ACUMAR; AySA utility,Under implementation,Under implementation / Operational,"Riachuelo megaproject: pretreatment plant, deep outfall, tunnels; floodable green areas; industrial relocation/control.",Largest WB urban environmental project in LAC; circular economy elements.,https://worldbank.org,"-34.603700, -58.381600",,,,,,,,
Multi-city (Norte Grande & central),Chaco; Formosa; Salta; Jujuy; Tucumán; Misiones; Santa Fe; Buenos Aires,Argentina,Climate Resilient Infrastructure for Urban Flood Risk Management,"Flood control + NBS (linear parks, rain gardens); EWS; solid waste for drainage",Water; DRM,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Solid Waste & Circular Economy; Urban Development & Housing; Water & Sanitation / Water Management,IBRD loan,Loan,US$200M,200000000,World Bank; Government of Argentina,National / Subnational Government; World Bank,Nat'l Min. Public Works; provincial governments,Approved (June 2023),Approved,Finance gray + green measures to reduce urban flood risk for ~1M people; strengthen planning and gender-inclusive governance.,Gray-green paradigm shift; multi-phase scalability.,https://worldbank.org,,,,,,,,,
Rosario; Córdoba; San Miguel de Tucumán; Posadas,Santa Fe; Córdoba; Tucumán; Misiones,Argentina,GEF Sustainable Transport and Air Quality (Argentina),BRT pilots; bikeways; pedestrianization,Transport; Energy (mitigation),Energy; Transport,GEF grant + IBRD co-financing,Grant / Technical Assistance,US$4M GEF + ~US$150M co-finance,154000000,GEF; World Bank; Government of Argentina; cities,GEF; National / Subnational Government; World Bank,Nat'l Min. Transport; municipalities,Completed (2010–2014),Completed,Cycling networks; BRT corridors; bike-share; planning TA; measurable GHG reductions.,Small grant leveraged large national program; formalization of operators.,https://worldbank.org,,,,,,,,,
Multi-city (public buildings across province),Santa Fe Province,Argentina,Energy Efficiency in Public Buildings Program (AFD),Building retrofits; LED; HVAC; solar water,Energy efficiency; Public facilities,Energy; Water & Sanitation / Water Management,AFD sovereign loan,Loan,€50M,55000000,AFD (France); Province of Santa Fe,AFD; National / Subnational Government,Provincial Energy Secretariat; Min. Economy,Approved (2025),Approved,"Retrofits in hospitals, schools, airports to cut energy use ~40%; capacity building in energy management.",Subnational green investment; resilience co-benefits in critical facilities.,https://www.santafe.gob.ar,,,,,,,,,
San Javier,Santa Fe Province,Argentina,San Javier River Defense and Stabilization (OFID),Levees; embankments; riverbank stabilization,Water; DRM,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,OFID loan,Loan,US$25M,25000000,OPEC Fund (OFID); Argentina (federal trust),OPEC Fund,Province of Santa Fe; Municipality of San Javier,Under implementation (2025 financing secured),Under implementation / Operational,Completes protective embankment and stabilizes riverbanks to mitigate Paraná River flooding for thousands of residents.,Critical adaptation for a vulnerable river city; multi-source finance.,https://www.santafe.gob.ar,"-30.583200, -59.949600",,,,,,,,
Concordia; Colón; Concepción del Uruguay (binational),Entre Ríos,Argentina,Uruguay River Coastal Adaptation (Adaptation Fund),Flood protection; wetland restoration; planning & EWS,Resilience; Coastal management; Ecosystems,Environment & Nature-based Solutions; Resilience & Disaster Risk Management,Adaptation Fund grant (via CAF/UNDP),Grant / Technical Assistance,~US$14M (binational),14000000,Adaptation Fund; CAF (IE); UNDP; provincial/municipal,Adaptation Fund; CAF; UN Agency,Entre Ríos environmental secretariat; UNDP,Under implementation (~2019–),Under implementation / Operational,Resilience measures and NbS along the Lower Uruguay River in Argentine municipalities (with parallel actions in Uruguay).,First AF urban adaptation in Argentina; gender & rights-based approach.,https://www.undp.org,,,,,,,,,
Bogotá,Bogotá D.C.,Colombia,First Metro Line of Bogotá – Section 1,Electric metro (MRT); integrated transit,Transport (low-carbon),Transport,Sovereign loans + PPP,Loan; PPP / Concession,~US$4.3B total; WB/IDB/EIB/AIIB shares,4300000000,World Bank; IDB; EIB; AIIB; Bogotá city,IDB; World Bank,Empresa Metro de Bogotá; APCA Transmimetro (concession),Under implementation (2020–2028),Under implementation / Operational,24-km elevated electric metro with 16 stations; integrated with TransMilenio; major emissions and travel-time reductions.,Blended finance; equity benefits; TOD catalyst.,https://worldbank.org,"4.710990, -74.072090",,,,,,,,
Bogotá (Usme),Bogotá D.C.,Colombia,TransMilenio Electric Bus Fleet – Usme Zone (IDB Invest),Fleet electrification; charging depots,Transport; Clean energy,Energy; Transport,IDB Invest loan (project finance),Loan,~US$92M total; US$28.8M IDB Invest,120800000,IDB Invest; private investors,IDB; IDB Invest; Private / PPP,Usme ZE S.A.S.; TransMilenio S.A.,Under implementation (loan 2022; buses 2023),Under implementation / Operational,Financing for 229 battery-electric buses and charging for the Usme concession within Bogotá’s integrated system.,Derisks e-bus adoption; replicable PPP structure.,https://idbinvest.org,"4.710990, -74.072090",,,,,,,,
Bogotá Metro Area,Cundinamarca,Colombia,Río Bogotá Environmental Restoration and Flood Control,Flood control; river parks; WWTP expansion,Water management; Resilience,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Urban Development & Housing; Water & Sanitation / Water Management,IBRD loan,Loan,US$250M (WB) + local,250000000,World Bank; CAR; EAAB,World Bank,CAR; EAAB (Bogotá Water),Under implementation (2011–),Under implementation / Operational,68.5 km of flood control works; 203 ha of river parks; Salitre WWTP upgrade to secondary treatment; resettlement and tools.,Holistic resilience; green spaces; institutional cooperation.,https://worldbank.org,"4.710990, -74.072090",,,,,,,,
Bogotá,Bogotá D.C.,Colombia,Doña Juana Landfill Gas-to-Energy,Methane capture; waste-to-energy,Waste; Renewable energy,Energy; Solid Waste & Circular Economy,PPP + CDM carbon finance,Climate / Carbon Finance; PPP / Concession,~US$20M initial + revenues,20000000,Private concessionaire; CDM buyers; city,Private / PPP,UAESP; landfill operator,Operational (gas-to-power since 2016),Under implementation / Operational,"LFG capture and 30 MW power plant; ~900,000 tCO₂e/year mitigated; revenue-sharing to local community projects.",Climate finance + justice; first of its kind in Colombia.,https://www.c40.org,"4.710990, -74.072090",,,,,,,,
Bogotá,Bogotá D.C.,Colombia,Bogotá Disaster Vulnerability Reduction Project (DVRP),Seismic retrofits; drainage; EOC & early warning,Urban resilience; Infrastructure safety,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loan (APL),Loan,US$80M,80000000,World Bank; Bogotá District,World Bank,IDIGER; city health/education depts.,Completed (2006–2013),Completed,Retrofit >70 public buildings; slope/drainage works; emergency command center; integrated risk info system.,Proactive risk reduction; lowered fiscal vulnerability.,https://worldbank.org,"4.710990, -74.072090",,,,,,,,
Medellín,Antioquia,Colombia,Green Corridors (Corredores Verdes),Urban cooling; greening; stormwater absorption,Urban environment; Resilience,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Water & Sanitation / Water Management,Municipal program (with TA/philanthropy),Grant / Technical Assistance; Municipal / Subnational Budget,~US$16.3M; ~$0.6M/yr O&M,16300000,City of Medellín; Bloomberg Philanthropies; C40,National / Subnational Government; Philanthropy,Secretariat of Environment; Jardín Botánico,Completed initial phase (2016–2019); ongoing maintenance,Completed,30 vegetated corridors along roads/streams; ~2°C average temperature reduction; air quality and biodiversity co-benefits.,"High impact, low cost; green jobs for local gardeners.",https://www.weforum.org,"6.244200, -75.581200",,,,,,,,
Medellín,Antioquia,Colombia,Metrocable Lines J & L (Urban Gondolas),Electric aerial cable transit; hillside access,Transport; Social urbanism,Transport,Public investment + KfW support,PPP / Concession,~US$50M (J & L),50000000,City of Medellín; Metro de Medellín; KfW (support),KfW / BMZ; National / Subnational Government,Metro de Medellín; city urban dev. co.,Completed (2008; 2010),Completed,Cable cars connecting peripheral comunas to metro; large time savings; reduced emissions and promoted social inclusion.,Climate-smart for steep terrain; catalyzed urban renewal around stations.,https://kfw.de,"6.244200, -75.581200",,,,,,,,
Cartagena,Bolívar,Colombia,TransCaribe BRT System,BRT; CNG buses; route reorganization,Transport (mitigation),Transport,IBRD loan (NUTP) + local,Loan,~US$240M (system),240000000,World Bank; Gov. of Colombia; City of Cartagena,National / Subnational Government; World Bank,TransCaribe S.A.; Min. Transport,Operational (since 2016),Under implementation / Operational,10.5-km segregated BRT with 16 stations; CNG articulated fleet; ~120k riders/day; travel time ↓ ~30%.,Mitigation + formalization; hybrid operations to reduce transfers.,https://itdp.org,"10.399700, -75.514400",,,,,,,,
Canal del Dique region (Cartagena/Barranquilla),Bolívar; Atlántico,Colombia,Canal del Dique Climate Adaptation & Ecosystem Restoration,Flood control infrastructure; wetland/mangrove restoration,Water resources; Adaptation,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Water & Sanitation / Water Management,Public works (PPP under preparation),PPP / Concession,~US$800M (est.),800000000,Government of Colombia; studies w/ MDB support,National / Subnational Government,Fondo Adaptación; Cormagdalena; CARDIQUE,Approved/preparation (bidding 2023),Approved,"Locks, gates, embankments to regulate flows/sediment; protect 1.5M+ people; restore coastal ecosystems.",Build-back-better after 2010-11 floods; large-scale NbS integration.,https://fondoadaptacion.gov.co,,,,,,,,,
Barranquilla,Atlántico,Colombia,BiodiverCity & Equity Program (Barranquilla + Naturaleza),Urban green infrastructure; inclusive public spaces,Urban development; Environment,Environment & Nature-based Solutions; Urban Development & Housing,IDB investment loan (results-based),Loan,US$100M,100000000,IDB; City of Barranquilla,National / Subnational Government,Mayor’s Office; EDUBAR,Under implementation (approved 2023),Under implementation / Operational,"Ecosystem restoration (e.g., Mallorquín Lagoon), urban forests and parks in underserved areas; migrant inclusion centers.",Climate + social equity; results-based disbursements.,https://iadb.org,"10.968500, -74.781300",,,,,,,,
Bucaramanga,Santander,Colombia,MetroLínea – Integrated Mass Transit System,BRT corridors; clean bus fleet,Transport,Environment & Nature-based Solutions; Transport,IBRD loan (NUTP) + local,Loan,~US$100M (WB share for city),100000000,World Bank; Gov. of Colombia; City of Bucaramanga,National / Subnational Government; World Bank,MetroLínea S.A.; Min. Transport,Partially operational (since 2010; expansion ongoing),Under implementation / Operational,~17 km BRT trunks with 36 stations; reorganized routes and formalized operators; improved air quality and access.,Scaling BRT to mid-sized cities; lessons on feeders and fare integration.,https://worldbank.org,"7.113300, -73.120500",,,,,,,,
Buenos Aires,CABA,Argentina,Paseo del Bajo Urban Corridor,Urban corridor; green infrastructure; bike paths; freight separation,Transport; Urban environment,Transport; Environment & Nature-based Solutions; Urban Development & Housing,Public works + PPP; CAF loan,Loan; PPP / Concession; Public Works,~US$700M (incl. US$400M CAF loan),700000000,CAF; City of Buenos Aires; land value capture,CAF; National / Subnational Government; Private / PPP,City of Buenos Aires; AUSA,Completed,Completed,"7.1 km corridor with freight lanes, parks, and cycling infrastructure reducing congestion and emissions.",Green urban highway model; strong land value capture finance.,https://www.caf.com,"-34.603700, -58.381600",,,,,,,,
Multi-city,Multiple provinces,Argentina,GIRSU National Urban Solid Waste Management,Sanitary landfills; recycling; dumpsite closure; wastepicker inclusion,Solid waste; Environment,Solid Waste & Circular Economy; Environment & Nature-based Solutions,IBRD loan + national/local co-finance,Loan,US$40M + US$50M (approx.),90000000,World Bank; Government of Argentina; municipalities,World Bank; National / Subnational Government,Ministry of Environment; municipalities; cooperatives,Completed,Completed,"Created sanitary landfills, closed dumps, built recycling plants, and integrated wastepickers in multiple cities.",Waste + social inclusion; methane mitigation.,https://www.worldbank.org,,,,,,,,,
Rosario,Santa Fe,Argentina,Rosario Urban Agriculture Program,Urban agriculture; green infrastructure; flood-buffering parks,Urban environment; Agriculture; NBS,Environment & Nature-based Solutions; Urban Development & Housing,Municipal program; grants; TA,Municipal / Subnational Budget; Grant / Technical Assistance,<US$5M (approx.),5000000,City of Rosario; UN-Habitat; FAO; national programs,National / Subnational Government; UN Agency; Philanthropy,City of Rosario; cooperatives; NGOs,Under implementation,Under implementation / Operational,"Converts vacant land into agroecological farms that absorb runoff, reduce heat, and increase food security.",Global NBS model; WRI Ross Prize winner.,https://www.wri.org,"-32.946800, -60.639300",,,,,,,,
Salado Basin,Buenos Aires Province,Argentina,Salado River Basin Integrated Flood Control,River channelization; bridge upgrades; basin flood management,Water management; Flood resilience,Water & Sanitation / Water Management; Resilience & Disaster Risk Management,IBRD loan,Loan,US$300M + provincial ~US$150M,450000000,World Bank; Province of Buenos Aires,World Bank; National / Subnational Government,Province of BA; basin authority,Under implementation,Under implementation / Operational,"Widening 34km of river, upgrading bridges, and improving water governance to protect 1.4M people.",Basin-scale climate adaptation.,https://www.worldbank.org,,,,,,,,,
Cali,Valle del Cauca,Colombia,Jarillón del Río Cauca Flood Protection & Resettlement,Levee reinforcement; resettlement; flood risk management,Resilience; Housing; Water,Resilience & Disaster Risk Management; Urban Development & Housing; Water & Sanitation / Water Management,National Adaptation Fund,Grant / Technical Assistance; Public Works,COP 1.3T (~US$450M),450000000,Fondo Adaptación; Cali city; CVC; EMCALI,National / Subnational Government,Fondo Adaptación; City of Cali,Under implementation,Under implementation / Operational,"Strengthening 26 km levee and relocating 6,000 families to prevent catastrophic flooding.",Large-scale climate justice resettlement model.,https://www.fondoadaptacion.gov.co,"3.437200, -76.522500",,,,,,,,
Barranquilla,Atlántico,Colombia,TransMetro BRT System,BRT; route reorganization; drainage-linked transport upgrades,Transport; Resilience,Transport; Resilience & Disaster Risk Management,IBRD loan + national/local,Loan,~US$100M (WB share),100000000,World Bank; Government of Colombia; Barranquilla,World Bank; National / Subnational Government,TransMetro S.A.; Ministry of Transport,Operational,Under implementation / Operational,13.2 km BRT reducing travel time and emissions; integrated drainage upgrades.,National BRT replication model.,https://www.worldbank.org,"10.968500, -74.781300",,,,,,,,
Bogotá,Bogotá D.C.,Colombia,Carrera Séptima Green Corridor,Green mobility corridor; NBS; pedestrianization,Transport; Urban environment,Transport; Environment & Nature-based Solutions; Urban Development & Housing,Municipal public works,Municipal / Subnational Budget; Public Works,~US$600M (planned),600000000,Bogotá city; IDB (TA),National / Subnational Government; IDB,IDU; Sec. Movilidad; IDB (design support),Planned,Planned,"20 km corridor with electric transit lanes, 8,000 new trees, parks, and cycleways.",Mobility + NBS integrated corridor.,https://bogota.gov.co,"4.710990, -74.072090",,,,,,,,
Santiago,Metropolitan Region,Chile,Electric Bus Fleet Transformation (Phase I),Urban Transport Electrification,Public Transport (Bus),Transport,Green Loan (Private Financing),Loan,US$129.5 million,129500000,AMP Capital; Enel X; Societe Generale,Private / PPP,Metbus; Ministry of Transport,Completed,Completed,Introduced 433 electric buses into Santiago’s transit system to reduce emissions and improve air quality.,PPPs enabled electrification; major GHG and air pollutant reduction; green loan classification.,https://www.enelx.com/cl/en/news-media/news/2020/04/santiago-electric-buses-green-loan,"-33.456900, -70.648300",,,,,,,,
Coyhaique,Aysén Region,Chile,District Heating Pilot for Clean Air,Clean Energy & Air Quality,Energy,Energy; Resilience & Disaster Risk Management,Public Investment + Technical Assistance,Grant / Technical Assistance,US$2.8 million,2800000,Aysén Regional Government; UNEP; DANIDA,National / Subnational Government; UN Agency,Ministry of Environment; UNEP,Under Implementation,Under implementation / Operational,Pilot district heating system to replace wood-burning heaters and improve air quality.,Demonstrates air quality and climate co-benefits through clean community heating.,https://www.unep.org/news-and-stories/story/district-energy-improves-lives-chile,"-45.575200, -72.066200",,,,,,,,
Temuco,Araucanía Region,Chile,Parque Urbano Isla Cautín,Nature-Based Solution for Flood Control,Urban Development,Urban Development & Housing; Environment & Nature-based Solutions,Public Investment,Grant / Technical Assistance,CLP $15 billion (~US$18 million),18000000,MINVU; Regional Government,National / Subnational Government,MINVU Araucanía Region,Completed,Completed,Built a floodable urban park with wetlands to retain stormwater and provide recreation.,Nature-based urban resilience with hydrological and ecological co-benefits.,https://www.minvu.gob.cl/temuco-inaugura-parque-isla-cautin/,"-38.739700, -72.598400",,,,,,,,
Santiago,Región Metropolitana de Santiago,Chile,Mapocho River Integral Project,Urban river rehabilitation; greenway; flood resilience,Urban waterway restoration; Public space; Transport,Water & Sanitation / Water Management; Environment & Nature-based Solutions; Urban Development & Housing; Transport; Resilience & Disaster Risk Management,Municipal public works; Public-private collaboration,Municipal / Subnational Budget; PPP / Concession; Public Works,~US$11M (initial municipal investment),11000000,Municipality of Santiago; Private companies,National / Subnational Government; Private / PPP,Gobierno de Santiago; 100 Resilient Cities partners,Under implementation (expanding after 2018),Under implementation / Operational,"Comprehensive urban project to rehabilitate the Mapocho River with a 42-km riverside greenway, flood-resilient riverbanks, and public spaces that improve mobility and reduce risk.","Strong multi-jurisdictional coordination; example of greenway as climate-resilient infrastructure; 30,000+ residents already benefiting.",https://medium.com/@100ResCities/mapocho-integral-project-55cf390d05a6,"-33.456900, -70.648300",,,,,,,,
Antofagasta; Taltal,Región de Antofagasta,Chile,Coastal Cities Climate Resilience Project (Chile–Ecuador),Urban flood and landslide risk reduction; early warning systems; ecosystem-based adaptation,Disaster risk management; Urban flood control; Ecosystems,Resilience & Disaster Risk Management; Water & Sanitation / Water Management; Environment & Nature-based Solutions; Urban Development & Housing,Adaptation Fund grant via CAF and UNDP,Grant / Technical Assistance,US$13.9M (regional project),13900000,Adaptation Fund; CAF; UNDP; national and local governments,Adaptation Fund; CAF; UN Agency; National / Subnational Government,CAF (implementing entity); UNDP; Chilean Environment Ministry; Antofagasta & Taltal municipalities,Under implementation (5-year project since 2019),Under implementation / Operational,"Reduces climate-driven flood and landslide risk in Antofagasta and Taltal through resilient infrastructure, ecosystem restoration, climate information systems, and community preparedness.",Combines gray and green measures; emphasizes local governance and a culture of adaptation; bi-national approach for shared coastal risks.,https://www.adaptation-fund.org/project/reducing-climate-vulnerability-and-flood-risk-in-coastal-urban-areas-in-latin-america-and-the-caribbean-chile-and-ecuador/,,,,,,,,,
Santiago (Metropolitan area),Región Metropolitana de Santiago,Chile,Santiago Biofactory Initiative,Circular wastewater treatment; biogas-to-energy; zero waste,Wastewater treatment; Renewable energy; Circular economy,Water & Sanitation / Water Management; Energy; Solid Waste & Circular Economy; Environment & Nature-based Solutions,Corporate investment and innovation by utility,Private / PPP,N/A (privately financed),,Aguas Andinas; SUEZ,Private / PPP,Aguas Andinas; SUEZ,Under implementation (since 2017),Under implementation / Operational,"Transforms Santiago’s wastewater plants into biofactories that generate energy, reuse biosolids, and treat 100% of the city’s wastewater, aiming for zero waste and carbon neutrality.",Flagship circular economy project; achieved full wastewater treatment coverage and large-scale resource recovery; improves Mapocho River water quality and cuts GHGs.,https://climateaction.unfccc.int/views/casestudy.html?id=105,"-33.456900, -70.648300",,,,,,,,
Santiago,Región Metropolitana de Santiago,Chile,Sustainable Transport and Air Quality for Santiago (GEF),BRT and non-motorized transport promotion; transport planning,Urban transport; Air quality; Climate mitigation,Transport; Urban Development & Housing; Climate Mitigation,GEF grant with World Bank implementation and government co-finance,Grant / Technical Assistance; Loan,US$6.98M GEF + ~US$7M co-finance,14000000,GEF; World Bank; Government of Chile,GEF; World Bank; National / Subnational Government,World Bank; Ministry of Transport; Ministry of Environment; Metropolitan authorities,Completed (mid-2000s–2011),Completed,"Helped Santiago pilot and scale sustainable mobility measures—BRT corridors, cycling and pedestrian infrastructure—to reduce GHG emissions and improve air quality.",One of the first Latin American projects to link climate mitigation and urban transport; fed lessons into broader Transantiago reform.,https://documents.worldbank.org,"-33.456900, -70.648300",,,,,,,,
Multi-city (national urban areas),National,Chile,E-Mobility Program for Sustainable Cities (Chile component),Electric public transport deployment; e-mobility planning,Urban transport; Energy; Climate mitigation,Transport; Energy; Urban Development & Housing,Blended finance program (GCF + IDB loans and grants),Loan; Grant / Technical Assistance,US$450M (regional LAC program),450000000,Green Climate Fund; IDB; national governments,Green Climate Fund; IDB; National / Subnational Government,IDB; Chilean Ministries of Energy and Transport; local transit agencies,"Under implementation (approved 2022, starting 2023)",Under implementation / Operational,Provides concessional finance and TA to scale electric mobility—e-buses and supporting infrastructure—in Chilean cities as part of a 9-country regional program.,Blends climate finance and MDB loans; addresses upfront cost barrier; couples vehicles with policy and planning support.,https://www.greenclimate.fund/project/fp187,,,,,,,,,
Central Chile (La Ligua / Valparaíso–Santiago supply area),Región de Valparaíso,Chile,Aguas Pacífico – Project Aqua Desalination Plant,Desalination for drought resilience; renewable-powered water supply,Water supply; Energy; Climate adaptation,Water & Sanitation / Water Management; Energy; Resilience & Disaster Risk Management,Private equity investment with AIIB participation,Private / PPP; Equity Investment,AIIB equity US$10M (Phase I); total >US$500M (est.),10000000,Patria Infrastructure Fund V; AIIB; other private investors,Private / PPP; Multilateral Development Bank,Aguas Pacífico; Patria Investments; AIIB,Under implementation (Phase I under construction),Under implementation / Operational,"Builds a large seawater desalination plant and pipeline to ensure resilient water supply for central Chile, powered by renewable electricity to limit GHG emissions.",Adaptation to mega-drought with low-carbon technology; blended MDB–private finance; model for other water-stressed regions.,https://www.aiib.org/en/news-events/news/2024/aiib-invests-in-chiles-first-seawater-desalination-plant.html,,,,,,,,,
Concepción,Región del Biobío,Chile,Cerro Chepe Urban Reforestation (+Bosques),Urban native forest restoration; erosion control; cooling,Urban forestry; Ecosystem restoration,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Urban Development & Housing,+Bosques public reforestation program funding,Grant / Technical Assistance; Municipal / Subnational Budget,,,CONAF (+Bosques program); Municipality of Concepción; FAO (support),National / Subnational Government; UN Agency,CONAF Biobío; Municipality of Concepción; local communities,Under implementation (planting 2024–2025),Under implementation / Operational,"Plants over 6,800 native trees on 3.8 ha of Cerro Chepe to create an urban green lung, stabilize soils, and provide shade and recreation for residents.",Shows how national climate–forestry funds can support city-level NbS; strong community buy-in for restoring a symbolic hill.,https://www.conaf.cl/bosques-nativos-programa-bosques-urbano-cerro-chepe/,"-36.820100, -73.044400",,,,,,,,
Concepción & Biobío Region,Región del Biobío,Chile,FERI – Inclusive Recycling Enterprise Fund (Biobío),Inclusive recycling; cooperative strengthening; equipment and training,Solid waste; Circular economy; Social inclusion,Solid Waste & Circular Economy; Social Inclusion,Corporate social responsibility fund and NGO partnership,Grant / Technical Assistance,,,Natura Recycling Fund; CEMPRE Chile; Fundación El Árbol,Private / PPP; Philanthropy; NGO,CEMPRE Chile; Fundación El Árbol; recycler cooperatives; municipalities,Under implementation (launched 2024),Under implementation / Operational,"Provides equipment, training, and branding support to recycler cooperatives in Biobío to boost recycling rates and improve livelihoods of base recyclers.",Ties climate mitigation in waste to social justice; private CSR catalyzes local circular economy capacity.,https://www.mediabanco.com/noticia/natura-lanza-fondo-empresarial-para-el-reciclaje-inclusivo-feri/,"-36.820100, -73.044400",,,,,,,,
Santiago (Recoleta & Independencia),Región Metropolitana de Santiago,Chile,Recoleta–Independencia District Energy Pilot,District heating & cooling; clean energy for public buildings,Building energy; Public health; Air quality,Energy; Urban Development & Housing; Climate Mitigation,Pre-investment studies and pilot investment via energy cooperation,Grant / Technical Assistance; Public Works,Part of ~US$1.17B projected national district energy portfolio,,"Chilean Ministry of Energy; GEF; bilateral partners (e.g., Net Zero World / US)",National / Subnational Government; GEF; Bilateral Donor,Programa Energía Distrital (Ministry of Energy); municipalities of Recoleta & Independencia; technical consultants,Planned / early implementation,Planned,"Pilot district energy system to provide efficient, low-emission heating and cooling to clusters of public and commercial buildings, replacing polluting individual boilers.",Demonstrates a system-level approach to decarbonizing buildings; significant co-benefits for air quality and health.,https://investchile.gob.cl/es/district-energy-chile/,"-33.456900, -70.648300",,,,,,,,
Renca; Independencia; Vitacura (Greater Santiago),Región Metropolitana de Santiago,Chile,PULAC – Local Urban Planning for Climate Adaptation,Climate action planning; capacity building; risk assessment,Urban planning; Governance; Resilience,Resilience & Disaster Risk Management; Urban Development & Housing; Governance,Bilateral grant for technical assistance,Grant / Technical Assistance,,,UK FCDO (UK Aid) via Adaptation Research Alliance,Bilateral Donor,ICLEI; UNDRR (MCR2030); Centro UC de Cambio Global; participating municipalities,Under implementation (since 2023),Under implementation / Operational,"Supports three Santiago municipalities to develop local climate action plans aligned with Chile’s Climate Change Law, using standardized risk tools and peer learning.",Highlights the role of local capacity and governance in turning national climate laws into city-level action; fosters peer exchange between municipalities.,https://mcr2030.undrr.org/news/pulac-project-boosts-local-climate-action-santiago-chile,,,,,,,,,