dataset_id,dataset_name,policy_design_purpose,assumption_ref,available_in_repo,repo_dataset_id,repo_resolution,data_gap_severity,external_source_if_missing,external_source_url,notes
global_solar_atlas,Global Solar Atlas — PV Output & GHI,Calibrate mandate stringency by zone; set minimum system size expectations based on local solar resource (GHI and PVOUT),A10,yes,global_solar_atlas,930m,,,,~1km resolution sufficient for zoning-level policy design
ghsl_built_up,GHSL Built-Up Surface,Estimate aggregate building stock density; identify high-density areas suitable for rooftop mandates vs. low-density areas,A4,yes,ghsl_built_up,100m,,,,Useful as aggregate proxy but not building-level
ghsl_population,GHSL Population Density,Estimate beneficiary population per zone; size residential demand; weight equity scoring,A3,yes,ghsl_population,100m,,,,Key input for equity-weighted incentive design
ghsl_degree_urbanization,GHSL Degree of Urbanization,Classify urban vs. peri-urban vs. rural zones to define mandate applicability boundaries,A1,yes,ghsl_degree_urbanization,1000m,,,,Helps define policy perimeter
br_ibge,IBGE Census Indicators,Identify low-income neighborhoods for equity-weighted IPTU Sustentável incentives; housing quality indicators for retrofit targeting,A3,yes,br_ibge,vector (census tracts),,,,Explicitly referenced in intervention document for equity targeting
dynamic_world,Dynamic World Land Cover,Distinguish built-up from non-built areas; identify green space for hybrid solar+NbS installations,A2,yes,dynamic_world,10m,,,,High resolution helpful for land-use segmentation
copernicus_dem,Copernicus DEM 30m,Derive roof slope proxies at block level; identify terrain constraints for panel orientation assumptions,A4,yes,copernicus_dem,30m,,,,Slope derived layer also available in repo
chirps_copdem_fri_2030s_ssp245,Flood Risk Index 2030s (SSP2-4.5),Identify zones where solar mandates should require flood resilience measures or be phased,A8,yes,chirps_copdem_fri_2030s_ssp245,5566m,,,,Use moderate scenario for near-term policy design
chirps_copdem_fri_2050s_ssp585,Flood Risk Index 2050s (SSP5-8.5),Long-term risk screening for 25-year PV system lifespan under high-emission scenario,A8,yes,chirps_copdem_fri_2050s_ssp585,5566m,,,,Worst-case for long-lived infrastructure
chirps_copdem_fri_2024,Flood Risk Index 2024 (Baseline),Current flood risk baseline for policy calibration,A8,yes,chirps_copdem_fri_2024,5566m,,,,Baseline reference
era5land_txx_2024,ERA5 Extreme Max Temperature 2024,Spatially differentiate PV performance derating due to temperature; identify zones needing adjusted yield expectations,A13,yes,era5land_txx_2024,11132m,,,,0.3-0.5% efficiency loss per degree above 25°C
era5land_txx_climatology,ERA5 Extreme Max Temperature Climatology,Long-term temperature baseline for PV performance modeling,A13,yes,era5land_txx_climatology,11132m,,,,Complements 2024 snapshot
era5land_hwm_2030s_45,Heatwave Magnitude 2030s (SSP2-4.5),Identify areas with growing cooling demand where solar+efficiency bundles should be prioritized in policy,A13,yes,era5land_hwm_2030s_45,11132m,,,,Links solar mandate to cooling demand co-benefits
noaa_viirs_nightlights,VIIRS Night Lights,Proxy for grid infrastructure density; identify potentially grid-constrained areas,A5,yes,noaa_viirs_nightlights,500m,,,,Low-resolution proxy — actual grid data preferred
mapbiomas_power_infrastructure,MapBiomas Power Infrastructure,Locate transmission lines and substations; estimate grid connection proximity for mandate feasibility,A5,yes,mapbiomas_power_infrastructure,vector,,,,Transmission-level only — distribution grid not included
mapbiomas_energy_infrastructure,MapBiomas Energy Infrastructure,Identify existing energy facilities for cumulative grid impact assessment,A5,yes,mapbiomas_energy_infrastructure,vector,,,,Complements power infrastructure layer
copernicus_emsn194,Copernicus EMS — May 2024 Flood Event,Validate flood risk models with observed 2024 flood extent; exclude severely flood-damaged areas from near-term mandates,A8,yes,copernicus_emsn194,30m,,,,Porto Alegre specific flood event data
modis_ndvi,MODIS NDVI Vegetation Index,Identify green spaces for hybrid solar+green roof incentives under certification program,A1,yes,modis_ndvi,250m,,,,Referenced in certification program (solar + NbS combo)
poa_gtfs,Porto Alegre GTFS Transit Data,Assess workforce accessibility for installation/maintenance services; equity indicator for transit-dependent populations,A3,yes,poa_gtfs,vector,,,,Secondary relevance for policy design
building_footprints,Individual Building Footprints with Roof Area,Estimate per-building rooftop area for mandate sizing; distinguish residential vs. commercial by footprint size; calculate total installable capacity,A4,no,,building-level,critical,OpenStreetMap or Microsoft Building Footprints or Google Open Buildings,https://github.com/microsoft/GlobalMLBuildingFootprints,Essential for building-level mandate — GHSL 100m is too coarse for individual rooftop assessment
building_use_classification,Building Use Classification (Residential vs. Commercial),Segment building stock into residential and commercial for differentiated mandate rules and targets,A2,no,,building-level,critical,Porto Alegre Municipal Cadaster (Cadastro Imobiliário — PMPA/SMF),https://prefeitura.poa.br,Needed to apply different mandate thresholds per segment; may be available via PMPA open data portal
pddua_zoning,PDDUA Zoning Map — Porto Alegre Master Plan,Define where mandates can legally apply; align building code updates with permitted land uses and building types,A11,no,,vector (parcels/zones),critical,Secretaria Municipal de Planejamento (SMP) — Porto Alegre,https://prefeitura.poa.br/smp,Essential regulatory layer; PDDUA defines floor-area ratios and height limits that affect rooftop availability
grid_distribution_topology,Distribution Grid Topology (Feeders and Substations),Identify grid hosting capacity constraints; define zones where mandates need storage requirements or phased rollout,A5,no,,vector (network),critical,CEEE Equatorial (distribution utility),https://www.ceee.com.br,Night lights are a poor proxy — actual feeder capacity data needed for mandate feasibility
aneel_distributed_generation,ANEEL Distributed Generation Registry,Map existing solar installations to identify adoption gaps; avoid mandating what already exists; calibrate incentive levels,A6,no,,point (geocoded installations),high,ANEEL — Registro de Geração Distribuída,https://app.powerbi.com/view?r=eyJrIjoiY2VmMmUwN2QtYWFiOS00ZDE3LWI3NDMtZDk0MTMzODk2ZGM0IiwidCI6IjQwZDZmOWI4LWVjQTctNDZhMi05MmQ0LWVhNGU5YzAxNzBlMSIsImMiOjR9,ANEEL publishes this data; needs geocoding from address to coordinates
new_construction_permits,Building Permit / New Construction Zones,Target building code mandate (Sub-action 6.4) to areas with active new development; forecast mandate uptake,A7,no,,vector (permits/zones),high,Secretaria Municipal de Planejamento (SMP) — Porto Alegre,https://prefeitura.poa.br/smp,Critical for building code mandate which only applies to new construction
heritage_protected_buildings,Heritage and Architectural Protection Zones,Exclude or create special provisions for listed buildings and historic districts where panel installation is restricted,A9,no,,vector (polygons/points),high,IPHAE (state) / IPHAN (federal) / EPAHC (municipal),https://iphae.rs.gov.br,Porto Alegre has significant historic center — mandate must respect preservation rules
electricity_consumption_spatial,Spatially Resolved Electricity Consumption,Calibrate IPTU Sustentável incentive levels based on local consumption and payback periods; identify high-consumption commercial zones,A12,no,,aggregated by feeder or neighborhood,high,CEEE Equatorial or ANEEL statistical data,https://www.ceee.com.br,Consumption data drives payback calculation which drives incentive calibration
property_tax_iptu_values,IPTU Property Tax Assessment Values,Design graduated tax incentive (IPTU Sustentável) — need property values to model fiscal impact of tax reductions per zone,A3,no,,vector (parcels),medium,Secretaria Municipal da Fazenda (SMF) — Porto Alegre,https://prefeitura.poa.br/smf,Needed to model fiscal cost of IPTU Sustentável program per zone
building_age_condition,Building Age and Structural Condition,Assess structural suitability for retrofit solar installations; older buildings may need roof reinforcement,A7,no,,vector (parcels),medium,Porto Alegre Municipal Cadaster or IBGE Census (housing characteristics),https://prefeitura.poa.br,Important for retrofit mandate — old roofs may not support panels without structural work
roof_characteristics_lidar,Roof Orientation and Tilt (LiDAR or DSM),Precise rooftop solar potential modeling — orientation azimuth and tilt angle affect generation by 10-30%,A4,no,,raster (1-5m),medium,Municipal LiDAR survey or high-resolution DSM (e.g. AW3D or commercial providers),https://www.eorc.jaxa.jp/ALOS/en/aw3d30/index.htm,Ideal but expensive; can approximate with DEM + building footprints for pre-feasibility
environmental_protection_areas,Environmental Protection Areas (APAs and APPs),Identify areas with environmental restrictions that may limit construction or mandate scope (riparian zones; hilltop protection),A9,no,,vector (polygons),medium,SMAMUS Porto Alegre / ICMBio / FEPAM-RS,https://www.icmbio.gov.br,Brazilian environmental law (Código Florestal) defines APPs — relevant where buildings border water or steep terrain
energy_poverty_index,Energy Poverty / Tarifa Social Eligibility,Target enhanced incentives to energy-poor households; align IPTU Sustentável with social tariff eligibility,A3,no,,vector (census tracts),medium,IBGE + ANEEL Tarifa Social registry,https://www.gov.br/aneel,Can be derived from br_ibge income data + ANEEL social tariff data; enhances equity targeting
